0.01,-0.50,0.87
0.05,-0.52,0.84
0.03,-0.49,0.89
-0.00,-0.42,0.94
-0.09,-0.30,1.01
-0.12,-0.28,1.00
-0.09,-0.36,0.91
-0.06,-0.42,0.88
-0.05,-0.46,0.87
-0.03,-0.49,0.87
-0.03,-0.47,0.89
-0.04,-0.40,0.95
-0.05,-0.36,0.97
-0.06,-0.34,1.01
-0.05,-0.36,1.01
-0.05,-0.38,0.98
-0.05,-0.46,0.90
-0.05,-0.48,0.89
-0.04,-0.48,0.88
-0.04,-0.46,0.88
-0.04,-0.43,0.87
-0.04,-0.35,0.91
-0.05,-0.33,0.94
-0.07,-0.31,0.96
-0.08,-0.30,0.96
-0.06,-0.32,0.96
-0.07,-0.37,0.94
-0.08,-0.37,0.92
-0.08,-0.36,0.93
-0.08,-0.35,0.96
-0.07,-0.35,0.98
-0.07,-0.34,0.99
-0.07,-0.27,1.00
-0.08,-0.25,1.02
-0.08,-0.22,1.04
-0.07,-0.24,1.03
-0.03,-0.28,1.01
-0.05,-0.29,0.99
-0.07,-0.29,1.01
-0.06,-0.23,1.00
-0.06,-0.23,0.99
-0.07,-0.21,0.99
-0.08,-0.20,1.00
-0.08,-0.18,1.03
-0.07,-0.19,1.03
-0.08,-0.22,0.98
-0.07,-0.22,0.97
-0.08,-0.23,0.97
-0.08,-0.23,0.96
-0.08,-0.22,0.97
-0.07,-0.20,0.98
-0.07,-0.20,0.98
-0.07,-0.20,0.99
-0.08,-0.19,0.99
-0.07,-0.19,0.98
-0.07,-0.18,0.99
-0.08,-0.19,1.00
-0.07,-0.20,1.00
-0.06,-0.25,0.99
-0.04,-0.26,0.95
-0.03,-0.26,0.87
-0.03,-0.21,0.80
-0.05,-0.22,0.86
-0.07,-0.24,0.96
-0.07,-0.22,0.98
-0.09,-0.17,1.02
-0.09,-0.14,1.04
-0.10,-0.15,1.07
-0.09,-0.15,1.05
-0.07,-0.14,1.00
-0.08,-0.09,0.99
-0.09,-0.09,1.04
-0.10,-0.11,1.08
-0.09,-0.13,1.08
-0.09,-0.15,1.07
-0.09,-0.16,1.06
-0.08,-0.17,1.07
-0.06,-0.17,1.04
-0.04,-0.13,0.91
-0.04,-0.12,0.92
-0.05,-0.13,0.97
-0.05,-0.13,0.96
-0.05,-0.16,0.97
-0.05,-0.17,0.98
-0.06,-0.16,1.01
-0.06,-0.15,1.04
-0.06,-0.13,1.04
-0.06,-0.10,1.02
-0.06,-0.08,1.01
-0.06,-0.08,1.01
-0.07,-0.07,1.04
-0.07,-0.07,1.05
-0.07,-0.08,1.06
-0.06,-0.11,1.05
-0.06,-0.13,1.05
-0.03,-0.21,1.03
-0.02,-0.24,1.03
-0.01,-0.26,1.04
0.02,-0.28,1.01
0.04,-0.28,1.01
0.09,-0.30,1.00
0.12,-0.27,0.99
0.15,-0.16,0.99
0.20,-0.03,0.99
0.20,0.03,1.01
0.22,0.07,1.01
0.28,0.09,1.01
0.30,0.16,1.01
0.38,0.35,0.95
0.42,0.49,0.92
0.45,0.66,0.88
0.57,1.13,1.05
0.71,1.38,1.22
1.07,2.17,1.16
1.15,2.94,1.27
1.11,3.69,1.59
2.08,4.00,1.42
3.32,4.00,0.86
4.00,4.00,1.84
4.00,4.00,3.32
4.00,3.23,3.80
4.00,-1.79,0.88
4.00,-3.38,0.86
4.00,-4.00,0.76
3.81,-4.00,0.40
2.95,-4.00,1.07
2.05,-1.89,1.05
1.97,-0.03,0.12
1.68,0.29,0.03
0.63,-1.58,0.98
0.34,-1.48,1.11
0.20,-0.20,0.75
0.04,0.13,0.61
-0.04,0.18,0.59
-0.15,-0.08,0.74
-0.18,-0.21,0.84
-0.18,-0.24,0.92
-0.19,-0.18,1.02
-0.18,-0.15,1.02
-0.17,-0.12,1.00
-0.15,-0.15,0.98
-0.13,-0.18,0.97
-0.10,-0.16,0.99
-0.07,-0.18,0.98
-0.02,-0.20,0.95
-0.00,-0.20,0.95
0.01,-0.23,0.94
0.04,-0.44,0.87
0.05,-0.54,0.85
0.09,-0.59,0.81
0.10,-0.54,0.79
0.10,-0.50,0.78
0.03,-0.35,0.90
-0.01,-0.23,1.00
-0.10,0.04,1.19
-0.14,0.09,1.22
-0.15,0.07,1.19
-0.14,-0.17,1.08
-0.13,-0.24,1.01
-0.09,-0.27,0.91
-0.08,-0.26,0.90
-0.07,-0.26,0.91
-0.06,-0.23,0.97
-0.06,-0.26,1.00
-0.06,-0.28,1.01
-0.05,-0.33,1.02
-0.04,-0.37,1.01
-0.04,-0.40,1.01
-0.04,-0.39,1.01
-0.03,-0.37,1.01
-0.05,-0.37,0.98
-0.05,-0.40,1.00
-0.01,-0.36,1.02
0.01,-0.31,0.98
0.07,-0.30,0.95
-0.07,-0.48,0.90
-0.03,-0.51,0.85
0.00,-0.51,0.82
-0.01,-0.56,0.86
-0.02,-0.56,0.88
-0.03,-0.53,0.90
-0.04,-0.50,0.91
-0.04,-0.47,0.90
-0.05,-0.45,0.89
-0.05,-0.47,0.90
-0.05,-0.49,0.92
-0.03,-0.50,0.90
-0.03,-0.50,0.89
-0.04,-0.47,0.89
-0.04,-0.44,0.89
-0.05,-0.42,0.91
-0.06,-0.44,0.94
-0.05,-0.44,0.93
-0.04,-0.43,0.92
-0.04,-0.42,0.92
-0.04,-0.40,0.93
-0.04,-0.35,0.95
-0.03,-0.34,0.94
-0.02,-0.33,0.93
-0.01,-0.32,0.91
-0.02,-0.29,0.92
-0.00,-0.26,0.94
0.01,-0.23,0.98
0.02,-0.22,1.00
0.02,-0.15,1.01
-0.01,-0.15,1.01
-0.03,-0.18,1.03
-0.03,-0.18,1.08
-0.06,-0.18,1.10
-0.07,-0.19,1.15
-0.13,-0.23,1.10
-0.18,-0.29,1.07
-0.23,-0.47,1.05
-0.09,-0.36,0.95
-0.02,-0.08,0.83
-0.30,0.24,0.90
-0.32,0.19,0.99
-0.27,0.06,1.01
-0.18,-0.11,0.97
-0.13,-0.11,0.99
-0.22,-0.10,1.03
-0.29,-0.06,1.02
-0.42,0.04,0.95
-0.51,0.04,0.92
-0.49,0.04,0.91
-0.30,-0.04,0.95
-0.27,-0.11,0.89
-0.25,-0.15,0.90
-0.29,-0.05,0.94
-0.24,0.08,1.00
-0.38,0.04,1.07
-0.35,0.04,1.01
-0.30,0.09,0.84
-0.30,0.13,0.70
-0.31,0.22,0.68
-0.46,0.41,0.98
-0.23,0.23,1.07
-0.06,0.09,0.89
-0.63,0.54,1.15
-0.30,0.38,1.31
-0.08,-0.19,1.08
-0.04,-0.11,0.96
-0.08,0.09,1.00
-0.13,0.04,1.10
-0.14,-0.03,1.22
-0.11,-0.09,1.36
-0.10,-0.04,1.21
-0.10,0.03,1.02
-0.23,0.32,0.79
-0.28,0.35,0.67
-0.34,0.22,0.54
-0.38,0.17,0.61
-0.39,0.22,0.71
-0.38,0.30,0.88
-0.36,0.31,0.92
-0.32,0.26,0.92
-0.31,0.17,0.96
-0.28,0.04,0.99
-0.25,0.03,1.02
-0.25,0.07,1.05
-0.22,0.21,1.05
-0.20,0.28,1.00
-0.20,0.44,1.10
-0.23,0.39,1.16
-0.21,0.34,1.14
-0.18,0.42,1.10
-0.19,0.49,1.13
-0.23,0.31,0.93
-0.81,0.48,0.51
-1.36,0.50,0.32
-0.53,0.36,-0.20
-0.42,0.16,0.10
-0.14,-0.21,1.09
-0.17,-0.29,1.56
-0.14,-0.19,1.82
-0.12,-0.13,1.76
-0.14,-0.17,1.40
-0.18,-0.18,1.17
-0.16,-0.32,0.95
-0.21,-0.35,0.98
-0.31,-0.24,0.99
-0.30,-0.13,0.90
-0.30,0.02,0.68
-0.29,0.02,0.60
-0.27,-0.02,0.57
-0.30,-0.13,0.58
-0.33,-0.16,0.62
-0.40,-0.17,0.72
-0.39,-0.14,0.69
-0.33,-0.09,0.62
-0.26,0.05,0.54
-0.27,0.12,0.60
-0.27,0.18,0.80
-0.26,0.13,0.91
-0.27,0.03,1.07
-0.25,-0.18,1.29
-0.23,-0.23,1.28
-0.23,-0.27,1.12
-0.23,-0.26,1.06
-0.24,-0.25,1.04
-0.24,-0.28,1.11
-0.25,-0.32,1.15
-0.27,-0.41,1.15
-0.28,-0.45,1.10
-0.30,-0.49,1.05
-0.32,-0.52,1.00
-0.32,-0.50,0.98
-0.32,-0.50,0.94
-0.32,-0.52,0.94
-0.36,-0.53,0.89
-0.40,-0.47,0.84
-0.31,-0.47,0.80
-0.26,-0.53,0.63
-0.26,-0.53,0.59
-0.25,-0.53,0.59
-0.29,-0.49,0.64
-0.31,-0.48,0.69
-0.31,-0.49,0.71
-0.34,-0.55,0.75
-0.35,-0.60,0.78
-0.37,-0.66,0.81
-0.38,-0.67,0.90
-0.38,-0.66,0.99
-0.36,-0.57,1.01
-0.34,-0.55,0.96
-0.34,-0.55,0.87
-0.33,-0.59,0.67
-0.34,-0.61,0.62
-0.34,-0.62,0.58
-0.34,-0.68,0.61
-0.35,-0.71,0.66
-0.36,-0.71,0.70
-0.34,-0.69,0.76
-0.32,-0.67,0.75
-0.31,-0.65,0.73
-0.31,-0.63,0.62
-0.31,-0.65,0.59
-0.32,-0.67,0.60
-0.33,-0.68,0.65
-0.33,-0.68,0.67
-0.33,-0.68,0.63
-0.36,-0.73,0.61
-0.39,-0.72,0.61
-0.38,-0.71,0.56
-0.40,-0.74,0.54
-0.35,-0.73,0.35
-0.41,-0.96,0.37
-0.41,-0.97,0.30
-0.42,-0.98,0.29
-0.42,-0.89,0.39
-0.36,-0.84,0.32
-0.36,-0.91,0.30
-0.37,-0.98,0.23
-0.38,-0.96,0.27
-0.39,-0.91,0.33
-0.37,-0.82,0.43
-0.37,-0.82,0.43
-0.37,-0.83,0.42
-0.37,-0.81,0.43
-0.37,-0.80,0.43
-0.36,-0.78,0.43
-0.37,-0.78,0.42
-0.37,-0.79,0.41
-0.39,-0.83,0.38
-0.39,-0.86,0.38
